"","wage","lwage","sex","white","black","hisp","shs","hsg","scl","clg","mw","so","we","union","vet","cent","ncent","fam1","fam2","fam3","child","fborn","cit","school","pens","fsize10","fsize100","health","age","exp1","exp2","exp3","exp4","occ","occ2","ind","ind2"
"1",9.61538461538461,2.26336437984076,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,31,7,0.49,0.343,0.2401,"3600","11","8370","18"
"2",48.0769230769231,3.87280229227486,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,55,31,9.61,29.791,92.3521,"3050","10","5070","9"
"3",11.0576923076923,2.40312632221592,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,38,18,3.24,5.832,10.4976,"6260","19","770","4"
"4",11.5384615384615,2.44568593663472,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,35,13,1.69,2.197,2.8561,"6050","18","170","1"
"5",13.9423076923077,2.63492793627325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,51,25,6.25,15.625,39.0625,"420","1","6990","12"
"6",28.8461538461538,3.36197666850887,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,46,22,4.84,10.648,23.4256,"2015","6","9470","22"
"7",9.77564102564103,2.27989368179197,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,28,4,0.16,0.064,0.0256,"1650","5","7460","14"
"8",11.7307692307692,2.46221523858593,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,25,1,0.01,0.001,1e-04,"1650","5","7460","14"
"9",19.2307692307692,2.95651156040071,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,62,42,17.64,74.088,311.1696,"5120","17","7280","14"
"10",19.2307692307692,2.95651156040071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,57,37,13.69,50.653,187.4161,"5240","17","5680","9"
